Year,Borough,UHF,Gender,Age,Race,HIV diagnoses,HIV diagnosis rate,Concurrent diagnoses,% linked to care within 3 months,AIDS diagnoses,AIDS diagnosis rate,PLWDHI prevalence,% viral suppression,Deaths,Death rate,HIV-related death rate,Non-HIV-related death rate
2011,All,All,All,All,All,3379.0,48.3,640.0,66.0,2366.0,33.8,1.1,71.0,2040,13.6,5.8,7.8
2011,All,All,Male,All,All,2595.0,79.1,480.0,66.0,1712.0,52.2,1.7,72.0,1423,13.4,5.7,7.7
2011,All,All,Female,All,All,733.0,21.1,153.0,66.0,622.0,17.6,0.6,68.0,605,14.0,6.0,8.0
2011,All,All,Transgender,All,All,51.0,99999.0,7.0,63.0,32.0,99999.0,99999.0,55.0,12,11.1,5.7,5.4
2011,All,All,Female,13 - 19,All,47.0,13.6,4.0,64.0,22.0,6.4,0.1,57.0,1,1.4,1.4,0.0
2011,All,All,Female,20 - 29,All,178.0,24.7,20.0,67.0,96.0,13.3,0.3,48.0,19,7.2,3.2,4.0
2011,All,All,Female,30 - 39,All,176.0,26.9,31.0,66.0,133.0,20.3,0.6,61.0,53,9.4,5.7,3.7
2011,All,All,Female,40 - 49,All,195.0,33.0,50.0,62.0,210.0,35.5,1.4,66.0,184,15.9,7.8,8.1
2011,All,All,Female,50 - 59,All,130.0,23.5,32.0,72.0,133.0,24.0,1.3,73.0,231,24.1,11.5,12.6
2011,All,All,Female,60+,All,57.0,6.7,23.0,68.0,60.0,7.1,0.3,81.0,129,33.5,10.6,22.9
2011,All,All,Female,All,Asian/Pacific Islander,11.0,2.2,2.0,91.0,8.0,1.6,0.1,77.0,7,13.1,2.6,10.6
2011,All,All,Female,All,Black,488.0,54.3,108.0,63.0,421.0,46.9,1.6,66.0,354,14.3,5.9,8.3
2011,All,All,Female,All,Latino/Hispanic,232.0,23.1,42.0,75.0,191.0,19.0,0.8,69.0,200,13.1,6.2,7.0
2011,All,All,Female,All,Other/Unknown,2.0,3.4,0.0,50.0,1.0,1.7,0.2,70.0,2,12.2,2.3,9.9
2011,All,All,Female,All,White,50.0,4.0,8.0,54.0,33.0,2.6,0.1,77.0,54,13.8,5.6,8.2
2011,All,All,Male,13 - 19,All,140.0,39.4,7.0,52.0,33.0,9.3,0.1,51.0,1,1.4,1.4,0.0
2011,All,All,Male,20 - 29,All,957.0,142.1,104.0,62.0,370.0,54.9,0.7,54.0,47,6.4,3.6,2.8
2011,All,All,Male,30 - 39,All,649.0,105.4,122.0,67.0,405.0,65.7,1.4,67.0,90,7.1,3.7,3.4
2011,All,All,Male,40 - 49,All,517.0,93.9,138.0,74.0,506.0,91.9,3.2,72.0,354,12.8,6.7,6.1
2011,All,All,Male,50 - 59,All,253.0,52.2,82.0,69.0,305.0,62.9,3.3,76.0,505,21.2,8.6,12.6
2011,All,All,Male,60+,All,80.0,13.3,27.0,70.0,93.0,15.5,1.2,83.0,426,38.5,13.7,24.8
2011,All,All,Male,All,Asian/Pacific Islander,97.0,21.4,22.0,66.0,42.0,9.3,0.3,81.0,13,7.4,3.1,4.4
2011,All,All,Male,All,Black,1042.0,148.9,211.0,61.0,822.0,117.5,3.1,66.0,649,15.5,7.3,8.3
2011,All,All,Male,All,Latino/Hispanic,848.0,92.0,155.0,69.0,570.0,61.8,1.9,72.0,479,14.0,6.2,7.8
2011,All,All,Male,All,Other/Unknown,10.0,20.8,1.0,40.0,4.0,8.3,0.6,74.0,6,5.0,2.5,2.4
2011,All,All,Male,All,White,599.0,51.7,91.0,72.0,274.0,23.6,1.1,82.0,276,10.5,2.9,7.6
2011,Bronx,All,All,All,All,627.0,55.3,144.0,73.0,568.0,50.1,1.7,67.0,513,15.0,6.9,8.1
2011,Bronx,All,Female,13 - 19,All,18.0,24.5,2.0,83.0,10.0,13.6,0.2,53.0,0,0.0,0.0,0.0
2011,Bronx,All,Female,20 - 29,All,46.0,39.9,6.0,74.0,23.0,19.9,0.5,52.0,8,10.7,5.4,5.4
2011,Bronx,All,Female,30 - 39,All,53.0,51.7,3.0,75.0,39.0,38.0,1.3,60.0,20,10.7,6.8,3.9
2011,Bronx,All,Female,40 - 49,All,52.0,49.7,20.0,65.0,73.0,69.8,2.6,64.0,62,17.2,7.6,9.6
2011,Bronx,All,Female,50 - 59,All,30.0,32.9,10.0,80.0,42.0,46.1,2.5,72.0,56,19.9,11.4,8.5
2011,Bronx,All,Female,60+,All,14.0,10.8,5.0,71.0,16.0,12.4,0.7,82.0,32,27.0,8.1,18.9
2011,Bronx,All,Female,All,All,213.0,34.5,46.0,74.0,203.0,32.9,1.3,67.0,178,13.1,5.9,7.2
2011,Bronx,All,Female,All,Asian/Pacific Islander,0.0,0.0,0.0,99999.0,0.0,0.0,0.1,71.0,3,38.1,26.7,11.4
2011,Bronx,All,Female,All,Black,119.0,61.9,29.0,70.0,111.0,57.8,2.1,66.0,91,14.0,6.3,7.7
2011,Bronx,All,Female,All,Latino/Hispanic,87.0,26.7,16.0,82.0,84.0,25.8,1.1,67.0,77,11.5,5.4,6.2
2011,Bronx,All,Female,All,Other/Unknown,0.0,0.0,0.0,99999.0,1.0,14.4,0.3,73.0,1,56.0,0.0,56.0
2011,Bronx,All,Female,All,White,7.0,10.1,1.0,43.0,7.0,10.1,0.3,72.0,6,10.6,2.3,8.3
2011,Bronx,All,Male,13 - 19,All,23.0,30.0,1.0,61.0,8.0,10.4,0.2,52.0,0,0.0,0.0,0.0
2011,Bronx,All,Male,20 - 29,All,145.0,135.1,24.0,77.0,68.0,63.3,1.0,49.0,9,6.8,3.8,3.0
2011,Bronx,All,Male,30 - 39,All,103.0,120.4,29.0,74.0,79.0,92.3,1.8,60.0,20,9.9,5.5,4.5
2011,Bronx,All,Male,40 - 49,All,86.0,98.5,22.0,76.0,107.0,122.6,4.2,64.0,78,15.8,8.9,6.9
2011,Bronx,All,Male,50 - 59,All,41.0,55.2,16.0,56.0,74.0,99.5,4.9,71.0,137,28.1,11.4,16.7
2011,Bronx,All,Male,60+,All,16.0,18.8,6.0,75.0,29.0,34.0,1.9,80.0,91,43.8,19.0,24.8
2011,Bronx,All,Male,All,All,414.0,80.2,98.0,73.0,365.0,70.7,2.3,67.0,335,16.0,7.5,8.6
2011,Bronx,All,Male,All,Asian/Pacific Islander,5.0,23.6,2.0,80.0,2.0,9.4,0.3,70.0,3,19.7,0.0,19.7
2011,Bronx,All,Male,All,Black,174.0,115.0,40.0,70.0,156.0,103.1,3.4,65.0,145,15.9,7.8,8.1
2011,Bronx,All,Male,All,Latino/Hispanic,211.0,77.0,50.0,77.0,191.0,69.7,2.1,67.0,166,15.6,7.7,7.9
2011,Bronx,All,Male,All,Other/Unknown,2.0,36.1,0.0,50.0,0.0,0.0,0.8,68.0,2,13.0,0.0,13.0
2011,Bronx,All,Male,All,White,22.0,34.1,6.0,50.0,16.0,24.8,0.9,79.0,19,20.0,3.9,16.1
2011,Bronx,Crotona - Tremont,All,All,All,99.0,60.6,22.0,72.0,101.0,61.8,2.3,66.0,99,16.0,8.6,7.4
2011,Bronx,Crotona - Tremont,Female,13 - 19,All,1.0,8.1,0.0,100.0,1.0,8.1,0.2,33.0,0,0.0,0.0,0.0
2011,Bronx,Crotona - Tremont,Female,20 - 29,All,5.0,27.3,1.0,80.0,1.0,5.5,0.6,49.0,4,26.1,13.1,13.1
2011,Bronx,Crotona - Tremont,Female,30 - 39,All,12.0,78.0,1.0,75.0,11.0,71.5,1.8,60.0,6,16.5,11.0,5.5
2011,Bronx,Crotona - Tremont,Female,40 - 49,All,7.0,44.5,5.0,86.0,16.0,101.8,3.4,60.0,11,14.5,4.4,10.2
2011,Bronx,Crotona - Tremont,Female,50 - 59,All,5.0,38.5,1.0,40.0,8.0,61.6,3.5,73.0,12,21.0,12.3,8.8
2011,Bronx,Crotona - Tremont,Female,60+,All,1.0,7.0,0.0,100.0,3.0,20.9,1.2,80.0,8,29.9,25.6,4.3
2011,Bronx,Crotona - Tremont,Female,All,All,31.0,34.8,8.0,74.0,40.0,44.9,1.8,65.0,41,16.8,10.5,6.4
2011,Bronx,Crotona - Tremont,Female,All,Asian/Pacific Islander,0.0,0.0,0.0,99999.0,0.0,0.0,0.5,71.0,0,0.0,0.0,0.0
2011,Bronx,Crotona - Tremont,Female,All,Black,16.0,60.7,6.0,75.0,26.0,98.7,2.9,66.0,23,20.7,11.2,9.5
2011,Bronx,Crotona - Tremont,Female,All,Latino/Hispanic,13.0,22.0,2.0,77.0,14.0,23.7,1.3,65.0,17,12.0,10.2,1.8
